smiles_std,cos2_mollogp_proxy,neoplastic_80_rule_proxy,x3v_chi3v_proxy
COC(C)=O,0.7544930505667504,0,0.2874574785652649
COC(C)COC(C)CO,0.730320747840684,0,1.2749296022872372
COC1=CC(=O)CC(C)C12Oc1c(Cl)c(OC)cc(OC)c1C2=O,0.4632258556778546,1,4.855898227059621
COC=O,0.7921831250100598,0,0.09622504486493766
COCC(C)O,0.7707727299346182,0,0.40786893258332646
COCC(C)OCC(C)O,0.730320747840684,0,1.0233198227233327
COCCO,0.8073467202523662,0,0.2954112381494592
COCCOC(C)=O,0.7528412005102042,0,0.5927826835775161
COCCOCCO,0.805832511849733,0,0.6674197060776054
COCCOCCOCCOC(=O)c1cccnc1,0.6777299365932747,1,2.16187003334538
